stop_id,stop_no,stop_name,stop_circle,stop_location,remarks,latitude,longitude,accuracy,is_geotagged,updated_user_id,updated_timestamp
24,28 C,Bakery Jn - RBI,B,Infront,NIL,8.5010261,76.9539468,2.47,TRUE,22,21:53.0
25,28 D,Bakery Jn - RBI,B,Opposite to RBI,NIL,8.500872,76.953816,5.93,TRUE,21,24:31.9
22,28 A,Bakery Jn,V,Main Stop,NIL,8.5007857,76.95463,13.43,TRUE,21,33:23.8
30,32,Chettikulangara Sreedevi Temple,B,,NIL,8.4889362,76.9453906,1.7,TRUE,22,43:53.7
13,31 A,Aristo,B,1,NIL,8.4893737,76.9539998,5.09,TRUE,22,04:22.6
38,39 A,Devaswom Board,"O,M",Kalyanamandapam Infront,NIL,8.5174618,76.9567496,1.35,TRUE,22,32:54.5
36,39 B,Devaswom Board,V,Kalyanamandapam Opposite,NIL,8.5173008,76.956806,2.35,TRUE,20,37:20.3
86,51,Keston Road,M,RelianceTrends,NIL,8.5159981,76.9591812,1.58,TRUE,22,52:05.7
87,52,Keston Road - Christ Nagar School,"V,G",,NIL,8.5145358,76.9605169,2.23,TRUE,22,54:39.6
91,37 A,Kowdiar - Gopala Pillai Island Park,O,,NIL,8.5216047,76.9608828,1.3,TRUE,22,15:04.2
90,37 B,Kowdiar,G,2 Bus Shelter,NIL,8.5227116,76.9604065,2.2,TRUE,22,18:14.8
5,35 B,Ambalamukku,Y,Muttada Road,NIL,8.5317494,76.9606666,1.4,TRUE,22,30:29.8
7,35 A,Ambalamukku,"G,Y,V",Main Stop,NIL,8.5306817,76.9613567,1.4,TRUE,22,33:37.6
11,79 A,Ananthapuri Auditorium,M,Exact opposite,NIL,8.4927155,76.9633488,16.18,TRUE,24,12:31.8
6,35 C,Ambalamukku,,Return,NIL,8.5326167,76.9623267,3.08,TRUE,22,55:10.1
62,67 B,HLL Life Care,M,In front of main gate,NIL,8.5282883,76.9681663,7.02,TRUE,24,16:00.0
84,61 A,Kesavadasapuram,G,Bank Of Baroda,NIL,8.5306183,76.9388767,2.18,TRUE,20,14:28.1
85,61 B,Kesavadasapuram - Chaithanya Eye Hospital,G,In front,NIL,8.5297591,76.9375558,3.9,TRUE,21,15:58.6
46,60 A,FCI,R,Opposite,NIL,8.5292033,76.9351433,2.4,TRUE,20,23:23.5
49,15 B,Forest Head Quarters,M,Infront,NIL,8.5030961,76.9596879,2.84,TRUE,20,03:02.4
